listing_title,tradein_title,listing_price,tradein_value,difference,location,url
Unlocked iPhone 13 Pro Max 256gb Light Blue,iPhone 13,580.0,300,-280.0,"Denver, CO",https://www.facebook.com/marketplace/item/680725544188172/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Apple iPhone 11 Pro Max 512gb white - unlocked,iPhone 11 Pro,500.0,220,-280.0,"Denver, CO",https://www.facebook.com/marketplace/item/974053014212986/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Apple iPhone 12 Pro Max - 128GB - Silver (Unlocked) - EXCELLENT CONDITION,iPhone 12 Pro,550.0,270,-280.0,"Denver, CO",https://www.facebook.com/marketplace/item/765037692478642/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Unlocked iPhone 13 Pro 128gb Gold,iPhone 13,580.0,300,-280.0,"Denver, CO",https://www.facebook.com/marketplace/item/3496754243803965/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Iphone 12 Pro 256gb,iPhone 12,480.0,200,-280.0,"Parker, CO",https://www.facebook.com/marketplace/item/1098348324725093/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
unlocked iphone 13 pro max 256gb (cracked),iPhone 13,580.0,300,-280.0,"Denver, CO",https://www.facebook.com/marketplace/item/999947538229915/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
IPHONE 12,iPhone 12,480.0,200,-280.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1103607157621165/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
vendo iphone 13 PRO MAX 😍nuevo !,iPhone 13 Pro,650.0,370,-280.0,"Aurora, CO",https://www.facebook.com/marketplace/item/465273026189456/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Unlocked iPhone 11 Pro Max 512gb Matte Green,iPhone 11 Pro,500.0,220,-280.0,"Denver, CO",https://www.facebook.com/marketplace/item/376883008706910/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Unlocked iPhone 13 Pro 128gb Gold,iPhone 13,580.0,300,-280.0,"Denver, CO",https://www.facebook.com/marketplace/item/1106334250441274/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
APPLE IPhone 14 pro max unlocked /Liberado,iPhone 14,645.0,370,-275.0,"Denver, CO",https://www.facebook.com/marketplace/item/919214733290288/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Apple Iphone 13 Pro Max Unlocked/Liberado,iPhone 13 Pro,645.0,370,-275.0,"Denver, CO",https://www.facebook.com/marketplace/item/1555124882002659/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Apple Iphone 12 pro max unlcoked/Liberado,iPhone 12,475.0,200,-275.0,"Denver, CO",https://www.facebook.com/marketplace/item/1700534133813672/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
UNLOCKED IPHONE 12 PRO MAX WHITE - 128gb,iPhone 12 Pro,540.0,270,-270.0,"Denver, CO",https://www.facebook.com/marketplace/item/839072108070087/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
White Iphone 12 pro Max 128gb - Unlocked,iPhone 12 Pro,540.0,270,-270.0,"Denver, CO",https://www.facebook.com/marketplace/item/304938412687481/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
IPHONE 12 PRO MAX 128gb White - UNLOCKED,iPhone 12 Pro,540.0,270,-270.0,"Denver, CO",https://www.facebook.com/marketplace/item/26200777612902444/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Gold Iphone 12 pro max 128gb - UNLOCKED,iPhone 12 Pro,540.0,270,-270.0,"Denver, CO",https://www.facebook.com/marketplace/item/461024563242591/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
IPhone 13 pro Max Gold unlocked,iPhone 13 Pro,640.0,370,-270.0,"Denver, CO",https://www.facebook.com/marketplace/item/1391273631588299/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iphone 13 pro- Unlocked,iPhone 13 Pro,630.0,370,-260.0,"Amarillo, TX",https://www.facebook.com/marketplace/item/420546880963498/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
IPhone 12 Pro - PAYMENT PLANS AVAILABLE,iPhone 12,459.0,200,-259.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/778725107685903/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iphone 12 pro max 128/256gb,iPhone 12 Pro,525.0,270,-255.0,"Aurora, CO",https://www.facebook.com/marketplace/item/2708771382615733/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Emerald Green IPhone 13 Pro Max,iPhone 13,550.0,300,-250.0,"Denver, CO",https://www.facebook.com/marketplace/item/1143182806949473/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Iphone 12 Pro Max 256 GB,iPhone 12,450.0,200,-250.0,"Denver, CO",https://www.facebook.com/marketplace/item/770666818484864/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Unlocked iPhone 13 Pro 256gb Green,iPhone 13 Pro,620.0,370,-250.0,"Denver, CO",https://www.facebook.com/marketplace/item/332249876415933/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
