title,price,url,location
IPhone 11 Pro Max - PAYMENT PLANS AVAILABLE,469.0,https://www.facebook.com/marketplace/item/368834976178116/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Apple iphone 13 pro max 256 GB Blue,1099.0,https://www.facebook.com/marketplace/item/1124953345502246/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Iphone,55.0,https://www.facebook.com/marketplace/item/325539476950663/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
IPhone XR,120.0,https://www.facebook.com/marketplace/item/884765790084850/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
UNLOCKED APPLE IPHONE 15 PRO 128GB,850.0,https://www.facebook.com/marketplace/item/437751675558014/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
IPhone 12 Pro Max,300.0,https://www.facebook.com/marketplace/item/1083697069570234/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Unsealed iPhone 15 Plus,650.0,https://www.facebook.com/marketplace/item/413038808111058/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
I phone 6,70.0,https://www.facebook.com/marketplace/item/2569117036601056/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
UNLOCKED APPLE IPHONE 15 PRO 128GB,850.0,https://www.facebook.com/marketplace/item/1164110674604673/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Iphone 15 pro,450.0,https://www.facebook.com/marketplace/item/983358623437250/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iphone 13 plus for sale. old phone i’ve since upgraded to a 14 pro max so no longer in need of this,450.0,https://www.facebook.com/marketplace/item/261293183694118/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 14 Plus,345.0,https://www.facebook.com/marketplace/item/662302179244698/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 12,400.0,https://www.facebook.com/marketplace/item/751010719696089/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iphone,40.0,https://www.facebook.com/marketplace/item/374423975090987/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
IPHONE 13 256GB $50 DOWN,499.0,https://www.facebook.com/marketplace/item/1174717417050907/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iphone pro max 13,650.0,https://www.facebook.com/marketplace/item/759497976390127/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 12 Pro Max,700.0,https://www.facebook.com/marketplace/item/1411488532820422/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Samsung s21 ultra 128gb,300.0,https://www.facebook.com/marketplace/item/439623082168250/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 11 BOX ONLY,15.0,https://www.facebook.com/marketplace/item/387435074284775/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
I phone 14 pro max,500.0,https://www.facebook.com/marketplace/item/324275263899493/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Samsung Galaxy s22 256GB,550.0,https://www.facebook.com/marketplace/item/422420903893846/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Pink iPhone 15,800.0,https://www.facebook.com/marketplace/item/764150709203985/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
I phone 11,80.0,https://www.facebook.com/marketplace/item/3684746151774358/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Motorola Moto E 32gb Android Smartphone,60.0,https://www.facebook.com/marketplace/item/345192148329481/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
