title,mileage,price,location,link,date_scraped
2012 Chevrolet malibu LT Sedan 4D,157K miles,"$4,700","Phoenix, AZ",www.facebook.com/marketplace/item/946497416364970/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2008 Saturn aura XE Sedan 4D,178K miles,"$4,200","Glendale, AZ",www.facebook.com/marketplace/item/502322298645805/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2007 BMW series 5 Grey,243K miles,"$3,000","Phoenix, AZ",www.facebook.com/marketplace/item/1484865028586228/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2009 Dodge charger R/T Sedan 4D,150K miles,"$6,500","Phoenix, AZ",www.facebook.com/marketplace/item/782758546167030/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2012 Ford mustang Premium Coupe 2D,151K miles · Dealership,"$5,355","Phoenix, AZ",www.facebook.com/marketplace/item/621676769973608/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2017 Hyundai elantra,96K miles,"$1,000","Glendale, AZ",www.facebook.com/marketplace/item/534174832147436/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2004 Toyota camry,128K miles,"$4,400","Phoenix, AZ",www.facebook.com/marketplace/item/726576609052552/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2004 Ford mustang,146K miles,"$3,000","Chandler, AZ",www.facebook.com/marketplace/item/1236313650646837/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2007 Nissan altima,205K miles,"$3,200","Chandler, AZ",www.facebook.com/marketplace/item/3061542337481683/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2003 Toyota 4runner SR5 Sport Utility 4D,189K miles,"$5,900","Phoenix, AZ",www.facebook.com/marketplace/item/724804395907821/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2003 Honda civic LX Coupe 2D,150K miles,"$1,700","Phoenix, AZ",www.facebook.com/marketplace/item/718435489913417/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2015 Toyota highlander,82K miles,"$16,500","Phoenix, AZ",www.facebook.com/marketplace/item/661802465947579/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2007 Chevrolet aveo LT Sedan 4D,140K miles,"$2,700","Phoenix, AZ",www.facebook.com/marketplace/item/876765426917394/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2018 Hyundai sonata,73K miles,"$9,800","Phoenix, AZ",www.facebook.com/marketplace/item/882656439660362/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2015 Maserati ghibli Sedan 4D,30K miles,"$16,900","Phoenix, AZ",www.facebook.com/marketplace/item/880827119695290/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2013 Jeep patriot Latitude Sport Utility 4D,156K miles,"$5,200","Phoenix, AZ",www.facebook.com/marketplace/item/763506275194166/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2013 Nissan maxima S Sedan 4D,160K miles,"$6,500","Phoenix, AZ",www.facebook.com/marketplace/item/481526734031317/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2006 Chevrolet hhr LT Sport Wagon 4D,118K miles,"$2,800","Surprise, AZ",www.facebook.com/marketplace/item/579020607494389/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2011 Audi a4 2.0T Premium Sedan 4D,125K miles,"$6,700","Glendale, AZ",www.facebook.com/marketplace/item/863686764694365/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2007 Honda civic,213K miles,"$4,500","Phoenix, AZ",www.facebook.com/marketplace/item/735182881322287/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2007 Toyota matrix,15K miles,"$3,650","Phoenix, AZ",www.facebook.com/marketplace/item/6010316085682573/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2002 Honda civic EX Coupe 2D,190K miles,"$4,500","Phoenix, AZ",www.facebook.com/marketplace/item/213910344467536/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2000 Chevrolet silverado 1500 Short Bed,211K miles,"$4,500","Phoenix, AZ",www.facebook.com/marketplace/item/875815133711201/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2009 Ford fusion,119K miles,"$1,000","Phoenix, AZ",www.facebook.com/marketplace/item/756326029184033/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2007 Nissan versa,104K miles,"$4,200","Phoenix, AZ",www.facebook.com/marketplace/item/575807710729501/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2015 Nissan rogue,104K miles,"$5,699","Laveen, AZ",www.facebook.com/marketplace/item/166183742845893/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2016 Nissan altima,128K miles,"$8,900","Phoenix, AZ",www.facebook.com/marketplace/item/221829100214607/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2001 BMW series 3,172K miles,"$6,500","Peoria, AZ",www.facebook.com/marketplace/item/754738019418156/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2017 Hyundai elantra SE Sedan 4D,50K miles,"$9,200","Glendale, AZ",www.facebook.com/marketplace/item/1724703074606088/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2008 Dodge caliber SXT Sport Wagon 4D,102K miles,"$5,200","Glendale, AZ",www.facebook.com/marketplace/item/1572484856590153/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2005 Chevrolet impala,149K miles,"$3,850","Phoenix, AZ",www.facebook.com/marketplace/item/556447156257247/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2008 Pontiac grand prix Sedan 4D,118K miles,"$3,500","Gilbert, AZ",www.facebook.com/marketplace/item/939895807012236/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
1986 Chevrolet camaro Z28 Coupe 2D,150K miles,"$7,000","Phoenix, AZ",www.facebook.com/marketplace/item/545645796973453/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2017 Ford mustang EcoBoost Premium Coupe 2D,72K miles,"$16,500","Phoenix, AZ",www.facebook.com/marketplace/item/144190811857698/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2013 Ford edge Limited Sport Utility 4D,120K miles,"$5,500","Phoenix, AZ",www.facebook.com/marketplace/item/949936883032521/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2009 Toyota venza,125K miles,"$11,000","Phoenix, AZ",www.facebook.com/marketplace/item/966335388107907/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2010 Ford fusion,20K miles,"$3,500","Phoenix, AZ",www.facebook.com/marketplace/item/3362370764050816/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2013 Toyota sienna LE Minivan 4D,63K miles,"$16,500","Gilbert, AZ",www.facebook.com/marketplace/item/866355647776843/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2011 Ram 1500 Sport Pickup 4D 5 1/2 ft,135K miles,"$7,600","Phoenix, AZ",www.facebook.com/marketplace/item/918647459285315/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2018 Nissan altima 2.5 SL Sedan 4D,10K miles,"$14,999","Phoenix, AZ",www.facebook.com/marketplace/item/163367536488127/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2010 Ford flex SEL Sport Utility 4D,163K miles,"$4,950","Phoenix, AZ",www.facebook.com/marketplace/item/530861089189349/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2005 Jeep grand cherokee Limited Sport Utility 4D,194K miles,"$6,500","Phoenix, AZ",www.facebook.com/marketplace/item/2313585332146265/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2005 GMC yukon SLT Sport Utility 4D,160K miles,"$7,500","Phoenix, AZ",www.facebook.com/marketplace/item/896680608317594/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2005 Toyota matrix XR Sport Wagon 4D,140K miles,"$4,995","Phoenix, AZ",www.facebook.com/marketplace/item/489151585988985/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2011 Volvo xc60 3.2 Sport Utility 4D,190K miles,"$5,000","Phoenix, AZ",www.facebook.com/marketplace/item/1190226221885363/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2013 Honda civic LX Sedan 4D,86K miles,"$10,000","Tempe, AZ",www.facebook.com/marketplace/item/1135250507157040/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2012 Dodge durango,130K miles,"$8,500","Phoenix, AZ",www.facebook.com/marketplace/item/855684485527465/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2007 Chevrolet suburban LT Sport Utility 4D,140K miles,"$8,900","Phoenix, AZ",www.facebook.com/marketplace/item/6520981061265351/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2012 Kia optima EX Sedan 4D,86K miles,"$6,500","Phoenix, AZ",www.facebook.com/marketplace/item/983882516157110/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2006 Infiniti g35,157K miles,"$7,000","Phoenix, AZ",www.facebook.com/marketplace/item/926360331826558/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2006 BMW series 3,144K miles,"$5,500","Phoenix, AZ",www.facebook.com/marketplace/item/1287025245215334/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2018 Honda accord Sport Sedan 4D,80K miles,"$17,200","Phoenix, AZ",www.facebook.com/marketplace/item/737903717999336/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2012 Audi a5,,"$5,900","Phoenix, AZ",www.facebook.com/marketplace/item/2993519340955731/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
